movie,trackname,musicDirector,singers,cast,releaseYear
Mohabbatein,"Chalte Chalte"" (Part 1)",Jatin–Lalit,Kishore Kumar,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mohabbatein,Pairon Mein Bandhan Hai (Part 1),Jatin–Lalit,"Ishaan, Manohar Shetty, Pritha Mazumdar, Shweta Pandit, Sonali Bhatawdekar & Udbhav","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mohabbatein,Aankhein Khuli,Jatin–Lalit,"Ishaan, Lata Mangeshkar, Manohar Shetty, Pritha Mazumdar, Shah Rukh Khan, Shweta Pandit, Sonali Bhatawdekar, Udbhav & Udit Narayan","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mohabbatein,Soni Soni,Jatin–Lalit,"Darshan Raval, Jonita Gandhi & Rochak Kohli","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mohabbatein,"Chalte Chalte"" (Part 2 (Not in the film))",Jatin–Lalit,"Ishaan, Manohar Shetty, Pritha Mazumdar, Shweta Pandit, Sonali Bhatawdekar & Udbhav","Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mohabbatein,Zinda Rehti Hain Mohabbatein (Part 2 of Pairon Mein Bandhan Hai),Jatin–Lalit,Not Found,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mohabbatein,"Mohabbatein Love Themes"" (Instrumental)",Jatin–Lalit,Jatin-Lalit,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mohabbatein,"Rhythms of Mohabbatein"" (Instrumental)",Jatin–Lalit,Jatin-Lalit,"Amitabh Bachchan, Shah Rukh Khan, Uday Chopra, Jugal Hansraj, Jimmy Shergill, Aishwarya Rai Bachchan, Preeti Jhangiani, Shamita Shetty, Kim Sharma, Anupam Kher",2000
Mission Kashmir,Bumbro,Shankar-Ehsaan-Loy,"Shankar Mahadevan, Sunidhi Chauhan & Jaspinder Narula","Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni, Puru Raaj Kumar, Rajendra Gupta, Abhay Chopra, Vineet Sharma, Ashok Banthia",2000
Mission Kashmir,Chupke Se Sun,Shankar-Ehsaan-Loy,"Murtuza, Qadir & Sadhana Sargam","Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni, Puru Raaj Kumar, Rajendra Gupta, Abhay Chopra, Vineet Sharma, Ashok Banthia",2000
Mission Kashmir,Rind Posh Maal,Shankar-Ehsaan-Loy,Shankar Mahadevan,"Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni, Puru Raaj Kumar, Rajendra Gupta, Abhay Chopra, Vineet Sharma, Ashok Banthia",2000
Mission Kashmir,Socho Ke Jheelon Ka,Shankar-Ehsaan-Loy,Udit Narayan & Alka Yagnik,"Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni, Puru Raaj Kumar, Rajendra Gupta, Abhay Chopra, Vineet Sharma, Ashok Banthia",2000
Mission Kashmir,Maaf Karo,Shankar-Ehsaan-Loy,Vinod Rathod & Anuradha Paudwal,"Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni, Puru Raaj Kumar, Rajendra Gupta, Abhay Chopra, Vineet Sharma, Ashok Banthia",2000
Mission Kashmir,So Ja Chanda,Shankar-Ehsaan-Loy,Mahalakshmi Iyer,"Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni, Puru Raaj Kumar, Rajendra Gupta, Abhay Chopra, Vineet Sharma, Ashok Banthia",2000
Mission Kashmir,Dhuan Dhuan,Shankar-Ehsaan-Loy,"Rochak Kohli, Sanjith Hegde & Gurpreet Saini","Sanjay Dutt, Hrithik Roshan, Preity Zinta, Jackie Shroff, Sonali Kulkarni, Puru Raaj Kumar, Rajendra Gupta, Abhay Chopra, Vineet Sharma, Ashok Banthia",2000
Hera Pheri,"Mujhse Milti Hai Ek Ladki Rozana"" (Not used in the film)","Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi","Udit Narayan, Alka Yagnik & Sameer","Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Hera Pheri,Jab Bhi Koi Haseena,"Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi",KK & Sameer,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Hera Pheri,Main Ladki Pom Pom,"Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi",Not Found,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Hera Pheri,Denewala Jab Bhi Deta Deta Chhappar Phaad Ke,"Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi",Not Found,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Hera Pheri,Humba Leela,"Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi","Abhijeet, Hariharan, Vinod Rathod & Sameer","Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Hera Pheri,Tun Tunak Tun,"Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi",Daler Mehndi,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Hera Pheri,"Sun Zara"" (Not used in the film)","Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi",Sonu Nigam,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Hera Pheri,Tun Tunak Tun (Dance Mix),"Anu Malik, Guest Composers:, Lalit Sen, Bally Sagoo, Background Score:, Surinder Sodhi",Daler Mehndi,"Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri, Gulshan Grover, Kulbhushan Kharbanda, Mukesh Khanna, Asrani, Razak Khan",2000
Kabhi Khushi Kabhie Gham,Kabhi Khushi Kabhie Gham,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava",Jatin-Lalit & Lata Mangeshkar,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,Bole Chudiyan,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","Amit Kumar, Jatin-Lalit, Sonu Nigam, Alka Yagnik, Udit Narayan & Kavita Krishnamurthy","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,You Are My Soniya,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","Sandesh Shandilya, Sonu Nigam & Alka Yagnik","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,Suraj Hua Maddham,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","Sandesh Shandilya, Sonu Nigam & Alka Yagnik","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,Say Shava Shava,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","Aadesh Shrivastava, Sudesh Bhosle, Alka Yagnik, Amitabh Bachchan, Sunidhi Chauhan & Udit Narayan","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,Yeh Ladka Hai Allah,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","Jatin-Lalit, Udit Narayan & Alka Yagnik","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,"Kabhi Khushi Kabhie Gham"" (Sad) (Part 1)","Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava",Kris Bowers,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,Deewana Hai Dekho,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","Alka Yagnik, Sandesh Shandilya, Sonu Nigam & Kareena Kapoor","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,"Kabhi Khushi Kabhie Gham"" (Sad) (Part 2)","Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava",Kris Bowers,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,Soul of K3G,"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava",Sandesh Shandilya,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Kabhi Khushi Kabhie Gham,Vande Mataram[a],"Jatin-Lalit, Sandesh Shandilya, Aadesh Shrivastava","Sandesh Shandilya, Usha Uthup & Kavita Krishnamurthy","Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan, Kajol, Jaya Bachchan, Kareena Kapoor Khan, Rani Mukerji, Farida Jalal, Jugal Hansraj, Alok Nath",2001
Gadar: Ek Prem Katha,"Udja Kale Kawan"" (Folk)",Uttam Singh,Alka Yagnik & Udit Narayan,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,Musafir Jaane Wale,Uttam Singh,Udit Narayan & Preeti Uttam Singh,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,Main Nikla Gaddi Leke,Uttam Singh,"Mithoon, Udit Narayan & Aditya Narayan","Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,"Udja Kale Kawan"" (Marriage)",Uttam Singh,Alka Yagnik & Udit Narayan,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,Hum Juda Ho Gaye,Uttam Singh,Udit Narayan & Preeti Uttam Singh,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,"Udja Kale Kawan"" (Search)",Uttam Singh,Alka Yagnik & Udit Narayan,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,Aan Milo Sajna,Uttam Singh,Ajoy Chakraborthy & Parveen Sultana,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,"Udja Kale Kawan"" (Victory)",Uttam Singh,Alka Yagnik & Udit Narayan,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Gadar: Ek Prem Katha,Traditional Shaadi Geet,Uttam Singh,Preeti Uttam Singh,"Sunny Deol, Ameesha Patel, Amrish Puri, Lillete Dubey, Vivek Shauq, Utkarsh Sharma, Suresh Oberoi, Madhumalti Kapoor, Pramod Moutho, Mushtaq Khan",2001
Lagaan,Ghanan Ghanan,A. R. Rahman,"A.R. Rahman, Alka Yagnik, Sehar, Shaan, Shankar Mahadevan, Sukhwinder Singh & Udit Narayan","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Lagaan,Mitwa,A. R. Rahman,"Caralisa Monteiro, Shafqat Amanat Ali, Shankar Mahadevan & Shankar Ehsaan Loy","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Lagaan,Radha Kaise Na Jale,A. R. Rahman,"A.R. Rahman, Asha Bhosle, Udit Narayan & Vaishali Samant","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Lagaan,O Rey Chhori,A. R. Rahman,"A.R. Rahman, Alka Yagnik, Udit Narayan & Vasundhara Das","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Lagaan,Chale Chalo,A. R. Rahman,A.R. Rahman & Srinivas,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Lagaan,O Paalanhaare,A. R. Rahman,"A.R. Rahman, Lata Mangeshkar & Udit Narayan","Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Lagaan,Lagaan...Once Upon a Time in India,A. R. Rahman,A.R. Rahman & Anuradha Sriram,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Lagaan,Waltz for a Romance,A. R. Rahman,A.R. Rahman,"Aamir Khan, Gracy Singh, Rachel Shelley, Paul Blackthorne, Suhasini Mulay, Kulbhushan Kharbanda, Raghubir Yadav, Rajesh Vivek, Raj Zutshi, Pradeep Ram Singh Rawat",2001
Dil Chahta Hai,Dil Chahta Hai,Shankar–Ehsaan–Loy,Shankar Mahadevan,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Jane Kyun Log Pyar Karte Hain,Shankar–Ehsaan–Loy,Udit Narayan & Alka Yagnik,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Woh Ladki Hai Kahan,Shankar–Ehsaan–Loy,Shaan & Kavita Subrahmanyam,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Kaisi Hai Ye Rut,Shankar–Ehsaan–Loy,Srinivas,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Koi Kahe Kehta Rahe,Shankar–Ehsaan–Loy,"Shankar Mahadevan, Shaan & KK","Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Akash's Love Theme,Shankar–Ehsaan–Loy,Mike Harvey,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Tanhayee,Shankar–Ehsaan–Loy,Sonu Nigam,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Dil Chahta Hai (Reprise),Shankar–Ehsaan–Loy,Shankar Mahadevan,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Dil Chahta Hai,Rocking Goa,Shankar–Ehsaan–Loy,Akhil & Dhvani Bhanushali,"Aamir Khan, Akshaye Khanna, Saif Ali Khan, Preity Zinta, Dimple Kapadia, Sonali Kulkarni, Ayub Khan, Rajat Kapoor, Samantha Tremayne, Suchitra Pillai",2001
Devdas,Silsila Ye Chahat Ka,Ismail Darbar,Sonakshi Kar,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Kaahe Chhed,Ismail Darbar,"Birju Maharaj, Kavita Krishnamurthy & Madhuri Dixit","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Bairi Piya,Ismail Darbar,Not Found,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Maar Daala,Ismail Darbar,Kavita Krishnamurthy & KK,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Chalak Chalak,Ismail Darbar,Sukhwinder Singh & Sapna Awasthi,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Hamesha Tumko Chaha,Ismail Darbar,"Soundtrack, Kavita Krishnamurthy & Udit Narayan","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Woh Chand Jaisi Ladki,Ismail Darbar,Udit Narayan,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Morey Piya,Ismail Darbar,Jaspinder Narula & Shreya Ghoshal,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,"Dev's Last Journey"" (Background score)",Ismail Darbar,Suvarna Tiwari,"Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Devdas,Dola Re Dola,Ismail Darbar,"Kavita Krishnamurthy, Shreya Ghoshal & KK","Shah Rukh Khan, Aishwarya Rai Bachchan, Madhuri Dixit, Jackie Shroff, Smita Jaykar, Manoj Joshi, Ananya Khare, Milind Gunaji, Dina Pathak, Kirron Kher",2002
Raaz,Aapke Pyaar Mein Hum,Nadeem-Shravan,Alka Yagnik,"Bipasha Basu, Dino Morea, Ashutosh Rana, Malini Sharma, Shruti Ulfat, Vishwajeet Pradhan, Mink Brar, Ali Asgar, Anang Desai, Murali Sharma",2002
Raaz,Jo Bhi Kasmein,Nadeem-Shravan,Alka Yagnik & Udit Narayan,"Bipasha Basu, Dino Morea, Ashutosh Rana, Malini Sharma, Shruti Ulfat, Vishwajeet Pradhan, Mink Brar, Ali Asgar, Anang Desai, Murali Sharma",2002
Raaz,Kitna Pyaara Hai,Nadeem-Shravan,Alka Yagnik & Udit Narayan,"Bipasha Basu, Dino Morea, Ashutosh Rana, Malini Sharma, Shruti Ulfat, Vishwajeet Pradhan, Mink Brar, Ali Asgar, Anang Desai, Murali Sharma",2002
Raaz,Main Agar Saamne,Nadeem-Shravan,Abhijeet & Alka Yagnik,"Bipasha Basu, Dino Morea, Ashutosh Rana, Malini Sharma, Shruti Ulfat, Vishwajeet Pradhan, Mink Brar, Ali Asgar, Anang Desai, Murali Sharma",2002
Raaz,Itna Main Chaahoon,Nadeem-Shravan,Alka Yagnik & Udit Narayan,"Bipasha Basu, Dino Morea, Ashutosh Rana, Malini Sharma, Shruti Ulfat, Vishwajeet Pradhan, Mink Brar, Ali Asgar, Anang Desai, Murali Sharma",2002
Raaz,Mujhe Tere Jaise,Nadeem-Shravan,Udit Narayan & Sarika Kapoor,"Bipasha Basu, Dino Morea, Ashutosh Rana, Malini Sharma, Shruti Ulfat, Vishwajeet Pradhan, Mink Brar, Ali Asgar, Anang Desai, Murali Sharma",2002
